# 12 month-opener 節氣 instants, JPL DE440s via Skyfield (tools/generate_solar_terms.py). year = KST calendar year.
year,term,utc
1899,小寒,1899-01-05T12:16:40Z
1899,立春,1899-02-04T00:06:10Z
1899,驚蟄,1899-03-05T18:37:25Z
1899,淸明,1899-04-05T00:08:03Z
1899,立夏,1899-05-05T18:09:42Z
1899,芒種,1899-06-05T22:51:52Z
1899,小暑,1899-07-07T09:20:41Z
1899,立秋,1899-08-07T18:58:47Z
1899,白露,1899-09-07T21:23:12Z
1899,寒露,1899-10-08T12:18:56Z
1899,立冬,1899-11-07T14:46:03Z
1899,大雪,1899-12-07T07:03:48Z
1900,小寒,1900-01-05T18:03:13Z
1900,立春,1900-02-04T05:50:45Z
1900,驚蟄,1900-03-06T00:21:06Z
1900,淸明,1900-04-05T05:51:55Z
1900,立夏,1900-05-05T23:54:27Z
1900,芒種,1900-06-06T04:38:11Z
1900,小暑,1900-07-07T15:09:25Z
1900,立秋,1900-08-08T00:49:50Z
1900,白露,1900-09-08T03:15:54Z
1900,寒露,1900-10-08T18:12:25Z
1900,立冬,1900-11-07T20:39:00Z
1900,大雪,1900-12-07T12:55:07Z
1901,小寒,1901-01-05T23:52:39Z
1901,立春,1901-02-04T11:39:08Z
1901,驚蟄,1901-03-06T06:10:08Z
1901,淸明,1901-04-05T11:43:37Z
1901,立夏,1901-05-06T05:49:40Z
1901,芒種,1901-06-06T10:35:44Z
1901,小暑,1901-07-07T21:06:52Z
1901,立秋,1901-08-08T06:45:23Z
1901,白露,1901-09-08T09:09:32Z
1901,寒露,1901-10-09T00:05:45Z
1901,立冬,1901-11-08T02:33:48Z
1901,大雪,1901-12-07T18:51:56Z
1902,小寒,1902-01-06T05:50:51Z
1902,立春,1902-02-04T17:37:26Z
1902,驚蟄,1902-03-06T12:06:49Z
1902,淸明,1902-04-05T17:36:44Z
1902,立夏,1902-05-06T11:38:06Z
1902,芒種,1902-06-06T16:19:06Z
1902,小暑,1902-07-08T02:45:38Z
1902,立秋,1902-08-08T12:21:34Z
1902,白露,1902-09-08T14:45:44Z
1902,寒露,1902-10-09T05:44:28Z
1902,立冬,1902-11-08T08:17:04Z
1902,大雪,1902-12-08T00:40:20Z
1903,小寒,1903-01-06T11:43:02Z
1903,立春,1903-02-04T23:30:35Z
1903,驚蟄,1903-03-06T17:58:11Z
1903,淸明,1903-04-05T23:25:13Z
1903,立夏,1903-05-06T17:24:41Z
1903,芒種,1903-06-06T22:06:27Z
1903,小暑,1903-07-08T08:35:55Z
1903,立秋,1903-08-08T18:15:09Z
1903,白露,1903-09-08T20:41:40Z
1903,寒露,1903-10-09T11:41:03Z
1903,立冬,1903-11-08T14:12:42Z
1903,大雪,1903-12-08T06:34:39Z
1904,小寒,1904-01-06T17:36:23Z
1904,立春,1904-02-05T05:23:27Z
1904,驚蟄,1904-03-05T23:50:59Z
1904,淸明,1904-04-05T05:18:11Z
1904,立夏,1904-05-05T23:17:55Z
1904,芒種,1904-06-06T04:00:18Z
1904,小暑,1904-07-07T14:31:02Z
1904,立秋,1904-08-08T00:11:12Z
1904,白露,1904-09-08T02:37:19Z
1904,寒露,1904-10-08T17:34:56Z
1904,立冬,1904-11-07T20:04:20Z
1904,大雪,1904-12-07T12:24:42Z
1905,小寒,1905-01-05T23:26:29Z
1905,立春,1905-02-04T11:15:10Z
1905,驚蟄,1905-03-06T05:44:57Z
1905,淸明,1905-04-05T11:13:50Z
1905,立夏,1905-05-06T05:13:26Z
1905,芒種,1905-06-06T09:52:55Z
1905,小暑,1905-07-07T20:19:21Z
1905,立秋,1905-08-08T05:56:19Z
1905,白露,1905-09-08T08:21:08Z
1905,寒露,1905-10-08T23:18:58Z
1905,立冬,1905-11-08T01:49:09Z
1905,大雪,1905-12-07T18:10:10Z
1906,小寒,1906-01-06T05:12:50Z
1906,立春,1906-02-04T17:03:16Z
1906,驚蟄,1906-03-06T11:35:29Z
1906,淸明,1906-04-05T17:06:39Z
1906,立夏,1906-05-06T11:07:51Z
1906,芒種,1906-06-06T15:48:17Z
1906,小暑,1906-07-08T02:14:39Z
1906,立秋,1906-08-08T11:50:57Z
1906,白露,1906-09-08T14:15:36Z
1906,寒露,1906-10-09T05:14:17Z
1906,立冬,1906-11-08T07:46:17Z
1906,大雪,1906-12-08T00:08:50Z
1907,小寒,1907-01-06T11:10:48Z
1907,立春,1907-02-04T22:58:12Z
1907,驚蟄,1907-03-06T17:26:29Z
1907,淸明,1907-04-05T22:54:10Z
1907,立夏,1907-05-06T16:53:00Z
1907,芒種,1907-06-06T21:32:21Z
1907,小暑,1907-07-08T07:58:34Z
1907,立秋,1907-08-08T17:35:22Z
1907,白露,1907-09-08T20:01:27Z
1907,寒露,1907-10-09T11:02:07Z
1907,立冬,1907-11-08T13:35:43Z
1907,大雪,1907-12-08T05:58:52Z
1908,小寒,1908-01-06T17:00:33Z
1908,立春,1908-02-05T04:46:39Z
1908,驚蟄,1908-03-05T23:13:00Z
1908,淸明,1908-04-05T04:39:12Z
1908,立夏,1908-05-05T22:37:45Z
1908,芒種,1908-06-06T03:18:29Z
1908,小暑,1908-07-07T13:47:26Z
1908,立秋,1908-08-07T23:26:09Z
1908,白露,1908-09-08T01:51:44Z
1908,寒露,1908-10-08T16:50:18Z
1908,立冬,1908-11-07T19:21:29Z
1908,大雪,1908-12-07T11:43:04Z
1909,小寒,1909-01-05T22:44:41Z
1909,立春,1909-02-04T10:31:59Z
1909,驚蟄,1909-03-06T05:00:14Z
1909,淸明,1909-04-05T10:28:52Z
1909,立夏,1909-05-06T04:30:16Z
1909,芒種,1909-06-06T09:13:23Z
1909,小暑,1909-07-07T19:43:25Z
1909,立秋,1909-08-08T05:21:56Z
1909,白露,1909-09-08T07:46:03Z
1909,寒露,1909-10-08T22:42:35Z
1909,立冬,1909-11-08T01:12:31Z
1909,大雪,1909-12-07T17:34:17Z
1910,小寒,1910-01-06T04:37:25Z
1910,立春,1910-02-04T16:26:51Z
1910,驚蟄,1910-03-06T10:55:59Z
1910,淸明,1910-04-05T16:22:24Z
1910,立夏,1910-05-06T10:18:48Z
1910,芒種,1910-06-06T14:55:49Z
1910,小暑,1910-07-08T01:20:31Z
1910,立秋,1910-08-08T10:56:38Z
1910,白露,1910-09-08T13:21:40Z
1910,寒露,1910-10-09T04:20:35Z
1910,立冬,1910-11-08T06:52:53Z
1910,大雪,1910-12-07T23:16:23Z
1911,小寒,1911-01-06T10:20:23Z
1911,立春,1911-02-04T22:09:46Z
1911,驚蟄,1911-03-06T16:38:19Z
1911,淸明,1911-04-05T22:04:01Z
1911,立夏,1911-05-06T15:59:47Z
1911,芒種,1911-06-06T20:37:22Z
1911,小暑,1911-07-08T07:04:25Z
1911,立秋,1911-08-08T16:43:54Z
1911,白露,1911-09-08T19:12:46Z
1911,寒露,1911-10-09T10:14:25Z
1911,立冬,1911-11-08T12:46:30Z
1911,大雪,1911-12-08T05:07:04Z
1912,小寒,1912-01-06T16:07:00Z
1912,立春,1912-02-05T03:53:02Z
1912,驚蟄,1912-03-05T22:20:30Z
1912,淸明,1912-04-05T03:47:46Z
1912,立夏,1912-05-05T21:46:34Z
1912,芒種,1912-06-06T02:27:00Z
1912,小暑,1912-07-07T12:56:14Z
1912,立秋,1912-08-07T22:36:44Z
1912,白露,1912-09-08T01:05:12Z
1912,寒露,1912-10-08T16:06:15Z
1912,立冬,1912-11-07T18:38:11Z
1912,大雪,1912-12-07T10:58:26Z
1913,小寒,1913-01-05T21:57:26Z
1913,立春,1913-02-04T09:42:10Z
1913,驚蟄,1913-03-06T04:08:30Z
1913,淸明,1913-04-05T09:35:23Z
1913,立夏,1913-05-06T03:34:11Z
1913,芒種,1913-06-06T08:12:57Z
1913,小暑,1913-07-07T18:38:25Z
1913,立秋,1913-08-08T04:15:20Z
1913,白露,1913-09-08T06:41:55Z
1913,寒露,1913-10-08T21:43:11Z
1913,立冬,1913-11-08T00:17:14Z
1913,大雪,1913-12-07T16:40:34Z
1914,小寒,1914-01-06T03:42:25Z
1914,立春,1914-02-04T15:28:50Z
1914,驚蟄,1914-03-06T09:55:23Z
1914,淸明,1914-04-05T15:21:24Z
1914,立夏,1914-05-06T09:19:35Z
1914,芒種,1914-06-06T13:59:29Z
1914,小暑,1914-07-08T00:26:46Z
1914,立秋,1914-08-08T10:04:46Z
1914,白露,1914-09-08T12:32:01Z
1914,寒露,1914-10-09T03:34:21Z
1914,立冬,1914-11-08T06:10:35Z
1914,大雪,1914-12-07T22:36:40Z
1915,小寒,1915-01-06T09:39:51Z
1915,立春,1915-02-04T21:25:00Z
1915,驚蟄,1915-03-06T15:47:50Z
1915,淸明,1915-04-05T21:08:49Z
1915,立夏,1915-05-06T15:02:18Z
1915,芒種,1915-06-06T19:39:41Z
1915,小暑,1915-07-08T06:07:20Z
1915,立秋,1915-08-08T15:47:16Z
1915,白露,1915-09-08T18:16:40Z
1915,寒露,1915-10-09T09:20:27Z
1915,立冬,1915-11-08T11:57:12Z
1915,大雪,1915-12-08T04:23:28Z
1916,小寒,1916-01-06T15:27:23Z
1916,立春,1916-02-05T03:13:35Z
1916,驚蟄,1916-03-05T21:36:57Z
1916,淸明,1916-04-05T02:57:25Z
1916,立夏,1916-05-05T20:49:23Z
1916,芒種,1916-06-06T01:25:17Z
1916,小暑,1916-07-07T11:53:10Z
1916,立秋,1916-08-07T21:34:32Z
1916,白露,1916-09-08T00:04:36Z
1916,寒露,1916-10-08T15:07:27Z
1916,立冬,1916-11-07T17:41:51Z
1916,大雪,1916-12-07T10:05:46Z
1917,小寒,1917-01-05T21:09:04Z
1917,立春,1917-02-04T08:57:08Z
1917,驚蟄,1917-03-06T03:24:24Z
1917,淸明,1917-04-05T08:49:30Z
1917,立夏,1917-05-06T02:45:18Z
1917,芒種,1917-06-06T07:22:48Z
1917,小暑,1917-07-07T17:49:50Z
1917,立秋,1917-08-08T03:29:44Z
1917,白露,1917-09-08T05:58:57Z
1917,寒露,1917-10-08T21:01:44Z
1917,立冬,1917-11-07T23:36:32Z
1917,大雪,1917-12-07T16:00:37Z
1918,小寒,1918-01-06T03:04:02Z
1918,立春,1918-02-04T14:52:43Z
1918,驚蟄,1918-03-06T09:20:33Z
1918,淸明,1918-04-05T14:44:49Z
1918,立夏,1918-05-06T08:37:49Z
1918,芒種,1918-06-06T13:10:36Z
1918,小暑,1918-07-07T23:31:46Z
1918,立秋,1918-08-08T09:07:03Z
1918,白露,1918-09-08T11:35:05Z
1918,寒露,1918-10-09T02:39:55Z
1918,立冬,1918-11-08T05:18:30Z
1918,大雪,1918-12-07T21:46:08Z
1919,小寒,1919-01-06T08:51:07Z
1919,立春,1919-02-04T20:39:01Z
1919,驚蟄,1919-03-06T15:05:07Z
1919,淸明,1919-04-05T20:28:20Z
1919,立夏,1919-05-06T14:21:38Z
1919,芒種,1919-06-06T18:56:16Z
1919,小暑,1919-07-08T05:20:10Z
1919,立秋,1919-08-08T14:57:40Z
1919,白露,1919-09-08T17:27:16Z
1919,寒露,1919-10-09T08:32:58Z
1919,立冬,1919-11-08T11:11:10Z
1919,大雪,1919-12-08T03:37:27Z
1920,小寒,1920-01-06T14:40:26Z
1920,立春,1920-02-05T02:26:05Z
1920,驚蟄,1920-03-05T20:50:41Z
1920,淸明,1920-04-05T02:14:33Z
1920,立夏,1920-05-05T20:10:56Z
1920,芒種,1920-06-06T00:50:02Z
1920,小暑,1920-07-07T11:18:16Z
1920,立秋,1920-08-07T20:57:54Z
1920,白露,1920-09-07T23:26:12Z
1920,寒露,1920-10-08T14:28:49Z
1920,立冬,1920-11-07T17:04:35Z
1920,大雪,1920-12-07T09:29:57Z
1921,小寒,1921-01-05T20:33:20Z
1921,立春,1921-02-04T08:19:51Z
1921,驚蟄,1921-03-06T02:44:48Z
1921,淸明,1921-04-05T08:08:21Z
1921,立夏,1921-05-06T02:03:58Z
1921,芒種,1921-06-06T06:41:06Z
1921,小暑,1921-07-07T17:06:15Z
1921,立秋,1921-08-08T02:43:05Z
1921,白露,1921-09-08T05:09:19Z
1921,寒露,1921-10-08T20:10:16Z
1921,立冬,1921-11-07T22:45:10Z
1921,大雪,1921-12-07T15:11:05Z
1922,小寒,1922-01-06T02:16:35Z
1922,立春,1922-02-04T14:06:04Z
1922,驚蟄,1922-03-06T08:33:30Z
1922,淸明,1922-04-05T13:57:41Z
1922,立夏,1922-05-06T07:52:31Z
1922,芒種,1922-06-06T12:29:56Z
1922,小暑,1922-07-07T22:57:06Z
1922,立秋,1922-08-08T08:36:48Z
1922,白露,1922-09-08T11:05:59Z
1922,寒露,1922-10-09T02:09:06Z
1922,立冬,1922-11-08T04:44:52Z
1922,大雪,1922-12-07T21:10:20Z
1923,小寒,1923-01-06T08:13:41Z
1923,立春,1923-02-04T19:59:57Z
1923,驚蟄,1923-03-06T14:24:06Z
1923,淸明,1923-04-05T19:45:27Z
1923,立夏,1923-05-06T13:37:55Z
1923,芒種,1923-06-06T18:13:59Z
1923,小暑,1923-07-08T04:41:52Z
1923,立秋,1923-08-08T14:24:10Z
1923,白露,1923-09-08T16:56:50Z
1923,寒露,1923-10-09T08:03:04Z
1923,立冬,1923-11-08T10:40:02Z
1923,大雪,1923-12-08T03:04:15Z
1924,小寒,1924-01-06T14:05:15Z
1924,立春,1924-02-05T01:49:14Z
1924,驚蟄,1924-03-05T20:11:54Z
1924,淸明,1924-04-05T01:32:49Z
1924,立夏,1924-05-05T19:25:20Z
1924,芒種,1924-06-06T00:01:13Z
1924,小暑,1924-07-07T10:29:06Z
1924,立秋,1924-08-07T20:11:56Z
1924,白露,1924-09-07T22:45:12Z
1924,寒露,1924-10-08T13:51:51Z
1924,立冬,1924-11-07T16:28:54Z
1924,大雪,1924-12-07T08:52:41Z
1925,小寒,1925-01-05T19:52:56Z
1925,立春,1925-02-04T07:36:27Z
1925,驚蟄,1925-03-06T01:59:31Z
1925,淸明,1925-04-05T07:22:08Z
1925,立夏,1925-05-06T01:17:31Z
1925,芒種,1925-06-06T05:56:04Z
1925,小暑,1925-07-07T16:24:36Z
1925,立秋,1925-08-08T02:06:47Z
1925,白露,1925-09-08T04:39:43Z
1925,寒露,1925-10-08T19:47:04Z
1925,立冬,1925-11-07T22:25:55Z
1925,大雪,1925-12-07T14:51:59Z
1926,小寒,1926-01-06T01:53:59Z
1926,立春,1926-02-04T13:37:56Z
1926,驚蟄,1926-03-06T07:59:22Z
1926,淸明,1926-04-05T13:17:59Z
1926,立夏,1926-05-06T07:08:02Z
1926,芒種,1926-06-06T11:41:20Z
1926,小暑,1926-07-07T22:05:18Z
1926,立秋,1926-08-08T07:43:54Z
1926,白露,1926-09-08T10:15:34Z
1926,寒露,1926-10-09T01:24:34Z
1926,立冬,1926-11-08T04:07:23Z
